Strategy,Metric,Average,Worst,Best
PPO-SIL,Terminal return,0.05534654848375154,-0.4242684715438543,0.6408615574881356
PPO-SIL,Excess terminal return,0.05534654848375154,-0.4242684715438543,0.6408615574881356
PPO-SIL,Annualized volatility,0.11955227779948532,0.4618529400271528,0.06193298707488069
PPO-SIL,Sharpe ratio,0.5764435530116824,-2.863880244310539,5.7792490819510345
PPO-SIL,Sortino ratio,0.9384574927938062,-3.032943761320445,11.194459039618785
PPO-SIL,Maximum drawdown,-0.11219075182100169,-0.4945561049694487,-0.019677712069452902
PPO-SIL,Calmar ratio,1.2332469243075743,-1.0,21.499809722198915
PPO-SIL,Total transaction cost,528.4903195762222,874.2448420524697,258.1840498449718
PPO-SIL,Trade count,55.0494,102.0,28.0
PPO-SIL,VaR 5%,7873.379296875,,
PPO-SIL,CVaR 5%,10678.543125,,
PPO-SIL,Empirical probability of loss,0.3454,,
PPO-SIL,Empirical probability of outperforming buy-and-hold,0.5436,,
PPO-SIL,Deflated Sharpe ratio,1.0,,
Buy-and-hold,Terminal return,0.04521811935522577,-0.3796267755772892,0.5426700248874468
Buy-and-hold,Excess terminal return,0.04521811935522577,-0.3796267755772892,0.5426700248874468
Buy-and-hold,Annualized volatility,0.0953515054559511,0.30710939611277355,0.052524859521376956
Buy-and-hold,Sharpe ratio,0.5641449483687287,-2.887085869558585,3.9931638395182847
Buy-and-hold,Sortino ratio,0.9472644063805102,-3.135078868143093,9.288277932531507
Buy-and-hold,Maximum drawdown,-0.08962813097994778,-0.38816574229534306,-0.01925943512995909
Buy-and-hold,Calmar ratio,1.181206715040168,-1.0,17.702887855290562
Buy-and-hold,Total transaction cost,0.0,0.0,0.0
Buy-and-hold,Trade count,0.0,0.0,0.0
Buy-and-hold,VaR 5%,5939.450312622114,,
Buy-and-hold,CVaR 5%,8454.760423142889,,
Buy-and-hold,Empirical probability of loss,0.3286,,
Buy-and-hold,Empirical probability of outperforming buy-and-hold,,,
Buy-and-hold,Deflated Sharpe ratio,1.0,,
